snapshot_date,production_selected_count,code_order_mismatches,reason_code_mismatches,risk_code_mismatches,parameterized_baseline_mismatches
2025-10-10,0,0,0,0,0
2025-10-24,2,0,0,0,0
2025-10-31,2,0,0,0,0
2025-11-07,1,0,0,0,0
2025-11-14,3,0,0,0,0
2025-11-21,1,0,0,0,0
2025-11-28,3,0,0,0,0
2025-12-05,1,0,0,0,0
2025-12-12,0,0,0,0,0
2025-12-19,3,0,0,0,0
2025-12-26,2,0,0,0,0
2026-01-02,1,0,0,0,0
2026-01-09,1,0,0,0,0
2026-01-16,2,0,0,0,0
2026-01-23,2,0,0,0,0
2026-01-30,3,0,0,0,0
2026-02-13,1,0,0,0,0
2026-02-20,3,0,0,0,0
2026-02-27,3,0,0,0,0
2026-03-06,2,0,0,0,0
2026-03-13,1,0,0,0,0
2026-03-20,1,0,0,0,0
2026-03-27,2,0,0,0,0
2026-04-02,3,0,0,0,0
2026-04-10,3,0,0,0,0
2026-04-17,3,0,0,0,0
2026-04-24,3,0,0,0,0
2026-05-01,3,0,0,0,0
2026-05-08,3,0,0,0,0
2026-05-15,3,0,0,0,0
2026-05-22,3,0,0,0,0
2026-05-29,3,0,0,0,0
2026-06-05,3,0,0,0,0
2026-06-12,3,0,0,0,0
2026-06-18,3,0,0,0,0
2026-06-26,3,0,0,0,0
2026-07-02,3,0,0,0,0
2026-07-10,3,0,0,0,0
2026-07-17,3,0,0,0,0
2026-07-24,3,0,0,0,0
2026-07-31,3,0,0,0,0
2026-08-07,3,0,0,0,0
